WKT,U_ID,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level,Sector
"MULTIPOLYGON (((533784.51 174944.528000001,533785.536 174944.512,533785.65 174945.6,533786.336894571 174948.724700498,533781.9 174949.75,533781.463 174948.051000001,533782.208762928 174947.859214155,533782.124022724 174944.506384642,533784.51 174944.528000001)))",1,East Dulwich Car Wash,,Car Washing,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=09e71ebd-b430-421a-9866-21ebdbcc7462_1571004686.jpg,Cities,"Vehicle / equipment depot, other inc service / hire",N Services: other,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,no,G,Transportation and Storage
"MULTIPOLYGON (((532974.77566233 177438.11538327,532978.480141324 177441.867023273,532980.495800636 177439.961065295,532976.686953733 177436.313155585,532974.77566233 177438.11538327)))",2,Alex Bartsch,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532973.41456414 177436.527738509,532974.77566233 177438.11538327,532976.686953733 177436.313155585,532975.184873264 177434.650137923,532973.41456414 177436.527738509)))",3,Alex Edwards,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532977.598931161 177432.826183068,532980.648322568 177429.477942115,532983.39563438 177432.567194024,532980.227571981 177435.293886696,532978.993720168 177433.899097689,532978.263226983 177434.570055087,532976.955182388 177433.362640379,532977.598931161 177432.826183068)))",4,Amon Brown,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532980.227571981 177435.293886696,532981.515069526 177436.688675702,532984.656835554 177433.985368734,532983.39563438 177432.567194024,532980.227571981 177435.293886696)))",5,Angela Phillips,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532981.515069526 177436.688675702,532982.856212802 177438.13711044,532985.817376525 177435.290354718,532984.656835554 177433.985368734,532981.515069526 177436.688675702)))",6,Angelica Bollettinari,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532982.856212802 177438.13711044,532984.411939002 177439.746482371,532987.377609676 177437.044779979,532985.817376525 177435.290354718,532982.856212802 177438.13711044)))",7,Avd Gallery,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532984.411939002 177439.746482371,532987.201517015 177443.179809157,532990.171198094 177440.10556215,532987.377609676 177437.044779979,532984.411939002 177439.746482371)))",8,Ben Grafton,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532980.852350435 177444.269432521,532983.392670112 177446.827718867,532985.484853622 177444.789181088,532982.802567071 177442.214185999,532980.852350435 177444.269432521)))",9,Ben Mcdonnell,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532983.392670112 177446.827718867,532985.216624967 177448.651673722,532989.132763332 177444.842826819,532987.201517015 177443.179809157,532983.392670112 177446.827718867)))",10,Benjamin Redgrove,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532987.201517015 177443.179809157,532990.795780994 177446.613135943,532988.757243215 177448.490736529,532990.849426725 177450.529274308,532996.028309157 177445.786959882,532993.850307402 177443.67429818,532990.171198094 177440.10556215,532987.201517015 177443.179809157)))",11,Christopher Macinnes,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532990.849426725 177450.529274308,532988.48901456 177452.782395012,532986.450476781 177450.314691384,532988.757243215 177448.490736529,532990.849426725 177450.529274308)))",12,Colin Barnes,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532972.815329388 177446.753784441,532975.905592587 177450.206961112,532979.554358875 177446.858890034,532975.876235169 177443.228217371,532972.815329388 177446.753784441)))",13,Corey Bartle-Sanderson,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532969.189468022 177442.684715435,532972.815329388 177446.753784441,532975.876235169 177443.228217371,532972.411283341 177439.272789826,532969.189468022 177442.684715435)))",14,Craig Lee,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532965.269946434 177438.281539771,532966.934762386 177440.151787688,532970.932789502 177436.380872328,532969.256741669 177434.591799868,532965.269946434 177438.281539771)))",15,Dafne Salis,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532970.932789502 177436.380872328,532974.784728877 177432.739998123,532973.181313647 177430.959646978,532969.256741669 177434.591799868,532970.932789502 177436.380872328)))",16,Daisy Billowes,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532974.784728877 177432.739998123,532976.737081711 177431.104243046,532974.928317174 177429.342812341,532973.181313647 177430.959646978,532974.784728877 177432.739998123)))",17,Eleanor Bedlow,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532974.809353147 177420.273082007,532972.550154694 177422.163025306,532970.664606176 177419.485993586,532972.627016966 177417.707362442,532974.809353147 177420.273082007)))",18,Elena Gileva,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532972.550154694 177422.163025306,532970.884769902 177423.63541881,532968.784381707 177420.847630842,532970.664606176 177419.485993586,532972.550154694 177422.163025306)))",19,Emily Scaife,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532970.884769902 177423.63541881,532968.058793057 177426.041318015,532966.034782615 177423.444474428,532968.784381707 177420.847630842,532970.884769902 177423.63541881)))",20,Fabio Almeida,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532968.058793057 177426.041318015,532964.889116327 177428.676350477,532962.826917008 177425.88856251,532966.034782615 177423.444474428,532968.058793057 177426.041318015)))",21,Folio Atelier,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532966.936364046 177422.592980854,532966.034782615 177423.444474428,532964.812738574 177424.437385211,532962.941483637 177421.611408367,532964.927305203 177420.083853316,532966.936364046 177422.592980854)))",22,Gregory Williams,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532968.784381707 177420.847630842,532966.936364046 177422.592980854,532964.927305203 177420.083853316,532967.065882274 177418.556298265,532968.784381707 177420.847630842)))",23,Holly Drewett,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532970.664606176 177419.485993586,532968.784381707 177420.847630842,532967.065882274 177418.556298265,532968.909657153 177417.188706058,532970.664606176 177419.485993586)))",24,Ian Williamson,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532970.839569051 177415.605903407,532972.627016966 177417.707362442,532970.664606176 177419.485993586,532968.909657153 177417.188706058,532970.839569051 177415.605903407)))",25,Irina Razumovskaya,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532961.590369095 177417.680240772,532959.726754897 177419.194427307,532958.406694841 177417.524939589,532960.379962005 177415.805242573,532961.590369095 177417.680240772)))",26,James Barker,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532963.298682109 177416.204879532,532961.590369095 177417.680240772,532960.379962005 177415.805242573,532961.978622052 177414.302440039,532963.298682109 177416.204879532)))",27,Joana Pereira,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,no,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532964.774043349 177415.001295363,532963.298682109 177416.204879532,532961.978622052 177414.302440039,532963.453983292 177413.215331757,532964.774043349 177415.001295363)))",28,Jack Mainwaring,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532965.084645715 177411.972922292,532966.59883225 177413.681235306,532964.774043349 177415.001295363,532963.453983292 177413.215331757,532965.084645715 177411.972922292)))",29,Jaclyn Pappalardo,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532970.839569051 177415.605903407,532968.854677003 177413.460074166,532973.594112502 177409.259586589,532975.503333817 177411.463780978,532970.839569051 177415.605903407)))",30,James Brown,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532979.54482216 177416.129675838,532974.809353147 177420.273082007,532970.839569051 177415.605903407,532975.503333817 177411.463780978,532979.54482216 177416.129675838)))",31,Jamie Temple,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532978.562726086 177414.995846755,532981.783298181 177412.172576621,532979.798406133 177410.241330304,532976.940110506 177413.122538445,532978.562726086 177414.995846755)))",32,Jane Higginbottom,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532979.798406133 177410.241330304,532978.189034202 177408.310083987,532974.898147125 177410.765093455,532976.940110506 177413.122538445,532979.798406133 177410.241330304)))",33,Joanna Georgiades,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532978.189034202 177408.310083987,532976.150496423 177406.056963284,532973.160553492 177408.75904308,532974.898147125 177410.765093455,532978.189034202 177408.310083987)))",34,Jonathan Halls,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532976.150496423 177406.056963284,532973.815118932 177403.316977768,532970.796635944 177406.029902278,532973.160553492 177408.75904308,532976.150496423 177406.056963284)))",35,Joshua Armitage,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532973.815118932 177403.316977768,532974.745931972 177402.444340543,532973.349712412 177400.757241909,532969.3056382 177404.308546648,532970.796635944 177406.029902278,532973.815118932 177403.316977768)))",36,Joshua Phillips,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532972.069844482 177399.477373979,532967.997537433 177394.648781335,532965.961383909 177396.626759045,532970.033690958 177401.106296799,532972.069844482 177399.477373979)))",37,Kineret Lourie,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",[non-industrial],Not industrial,no,no,no,no,no,G,Manufacturing
"MULTIPOLYGON (((532970.033690958 177401.106296799,532968.020025225 177402.82430756,532964.186091508 177398.398034338,532965.961383909 177396.626759045,532970.033690958 177401.106296799)))",38,Livi Mills,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532970.796635944 177406.029902278,532967.648482544 177408.727328562,532966.12081232 177406.620197219,532969.3056382 177404.308546648,532970.796635944 177406.029902278)))",39,Lottie Kingslake,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532967.648482544 177408.727328562,532965.612329019 177410.298075566,532963.983406199 177408.203746227,532966.12081232 177406.620197219,532967.648482544 177408.727328562)))",40,Lucie Kordacova,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532965.612329019 177410.298075566,532963.576175495 177412.043350016,532961.77272523 177409.774493231,532963.983406199 177408.203746227,532965.612329019 177410.298075566)))",41,Maja Andreah,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532963.576175495 177412.043350016,532961.481846155 177413.84680028,532959.620220076 177411.519767681,532961.77272523 177409.774493231,532963.576175495 177412.043350016)))",42,Mark Jeffreys,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532961.481846155 177413.84680028,532956.653253511 177418.093634774,532953.162704612 177414.254030985,532954.966154877 177412.625108166,532956.304198622 177414.137679355,532959.620220076 177411.519767681,532961.481846155 177413.84680028)))",43,Mark Connolly,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532965.812957531 177403.962660942,532963.40164805 177400.873593539,532961.016439635 177402.909747063,532963.617011675 177405.96168774,532965.812957531 177403.962660942)))",44,Martin Jackson,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532963.617011675 177405.96168774,532961.291866423 177407.480820892,532959.023368725 177404.511757728,532961.016439635 177402.909747063,532963.617011675 177405.96168774)))",45,Millington Marriott,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532961.291866423 177407.480820892,532959.223530286 177409.048753125,532957.22191467 177406.346572043,532959.023368725 177404.511757728,532961.291866423 177407.480820892)))",46,Miguel Pacheco,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532959.223530286 177409.048753125,532957.021753109 177410.816846919,532954.853336191 177407.981224796,532957.22191467 177406.346572043,532959.223530286 177409.048753125)))",47,Moira Lux,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",[non-industrial],Not industrial,no,no,no,no,no,G,Manufacturing
"MULTIPOLYGON (((532954.519733588 177404.978801372,532951.750831986 177407.480820892,532950.449781836 177405.91288866,532953.418845 177403.777832003,532954.519733588 177404.978801372)))",48,Nemo Nonnenmacher,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532958.589685341 177401.542694565,532957.455436492 177400.174923894,532955.420460616 177402.009738208,532956.421268424 177403.143987057,532958.589685341 177401.542694565)))",49,Original Material,,Artist,,,,,,,,,,Cities,Fully / predominantly non-industrial other than housing,O Retail,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,yes,no,no,G,n/a
"MULTIPOLYGON (((532966.950372764 177389.471133802,532969.969238067 177386.430369814,532967.3 177383.35,532963.750702939 177386.969573757,532966.950372764 177389.471133802)))",50,Paul Schneider,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532971.488086332 177394.82330878,532968.521119768 177391.507287326,532971.576884974 177388.259565235,532974.434635248 177391.511139752,532971.488086332 177394.82330878)))",51,Praktika Studio,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532973.815118932 177397.49939627,532971.488086332 177394.82330878,532974.434635248 177391.511139752,532976.941829805 177394.363848753,532973.815118932 177397.49939627)))",52,Phoebe Halstead,,Artist,,,,,,,,,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532976.840261311 177400.699066094,532973.815118932 177397.49939627,532976.941829805 177394.363848753,532979.77772074 177397.590551513,532976.840261311 177400.699066094)))",53,Rufus Gen,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532979.28364554 177403.142450323,532976.840261311 177400.699066094,532979.77772074 177397.590551513,532982.151161225 177400.291073902,532979.28364554 177403.142450323)))",54,Samuel Kilcoyne,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532981.890589643 177405.949671822,532979.28364554 177403.142450323,532982.151161225 177400.291073902,532984.580234859 177403.046424837,532981.890589643 177405.949671822)))",55,Simji Park,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532983.82183596 177407.93456387,532981.890589643 177405.949671822,532984.580234859 177403.046424837,532986.470634172 177405.227654815,532983.82183596 177407.93456387)))",56,South London Guide,,Artist,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532985.699436546 177409.919455918,532983.82183596 177407.93456387,532986.470634172 177405.227654815,532988.449390619 177407.331140347,532985.699436546 177409.919455918)))",57,Stef Murphy,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532990.722575329 177409.56479141,532987.737974326 177412.279868083,532985.699436546 177409.919455918,532988.449390619 177407.331140347,532990.722575329 177409.56479141)))",58,Steven Gee,,Artist,,,,,,,,,,Cities,Artisan / art production,,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((535043.565440503 176854.377216876,535040.621434825 176846.271445769,535057.775151722 176839.907044674,535060.601444832 176848.281888676,535043.565440503 176854.377216876)))",59,,,Storage,,,,,,,"25.0",,,Cities,Storage,J Transport and storage,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,no,G,Transportation and Storage
"MULTIPOLYGON (((535048.874587041 176868.885893271,535046.196706386 176861.559120715,535064.826300416 176854.748970881,535067.528940398 176862.566795451,535048.874587041 176868.885893271)))",60,,,Clothes Supplier,,,,,,,"23.0",,,Cities,"Wholesale, other",I Wholesale: other,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,yes,G,Wholesale
"MULTIPOLYGON (((535054.888495218 176885.293027739,535051.860975204 176876.898779397,535070.017761642 176870.10104076,535072.953805943 176878.259099059,535054.888495218 176885.293027739)))",61,,,Vacant,,,,,,,"21.0",,,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((535057.864286639 176893.451788257,535054.888495218 176885.293027739,535072.953805943 176878.259099059,535075.705080901 176886.842298057,535057.864286639 176893.451788257)))",62,London Scaffolding Ltd.,,Scaffolding Supplier,,,,,,,"20.0",,,Cities,"Wholesale, building materials / equipment in hire",G Construction,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,yes,yes,G,Wholesale
"MULTIPOLYGON (((535063.347942289 176908.765621232,535060.55 176900.9,535078.469999107 176894.981142561,535081.065831496 176902.112231483,535063.347942289 176908.765621232)))",63,,,Vacant,,,,,,,"18.0",,,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((535076.239172443 176909.231037253,535079.870418114 176907.821840144,535081.375465087 176912.139203683,535077.859974415 176913.476512021,535076.239172443 176909.231037253)))",64,Writer,,Non Industrial,,,,,,,"17.0",,,Cities,Fully / predominantly non-industrial other than housing,"Q Arts, culture, leisure and sports",[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((535076.239172443 176909.231037253,535079.870418114 176907.821840144,535078.14716208 176903.134451131,535074.598253665 176904.484826843,535076.239172443 176909.231037253)))",65,,,Artist,,,,,,,"17.0",,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((535064.970976694 176913.315649632,535069.829503918 176911.536932967,535068.056604292 176906.973954032,535063.347942289 176908.765621232,535064.970976694 176913.315649632)))",66,,,Artist,,,,,,,"17.0",,,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((535076.239172443 176909.231037253,535077.859974415 176913.476512021,535066.606341274 176917.757444281,535065.64988889 176915.159635124,535064.970976694 176913.315649632,535076.239172443 176909.231037253)))",67,Anatomie Studio,,Rope Educators And Shibari Artists,,,,,,,"17.0",,,Cities,Fully / predominantly non-industrial other than housing,"Q Arts, culture, leisure and sports",[non-industrial],Industrial in predominantly industrial premises,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((535070.196784711 176927.509405793,535073.25 176935.949999999,535087.792589008 176930.391564028,535085.033766857 176922.394547198,535070.196784711 176927.509405793)))",68,,,Storage,,,,,,,"15.0",,,Cities,Storage,J Transport and storage,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,no,G,Transportation and Storage
"MULTIPOLYGON (((535091.84040325 176985.928254386,535094.793011108 176993.887274017,535107.214286538 176989.289086895,535104.539311407 176981.172559095,535091.84040325 176985.928254386)))",69,,,Hurst Storage,,,,,,,"11.0",,,Cities,Storage,,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,no,G,Transportation and Storage
"MULTIPOLYGON (((535098.265963179 177003.248928203,535094.793011108 176993.887274017,535107.214286538 176989.289086895,535110.11343987 176998.215122244,535098.265963179 177003.248928203)))",70,,,Vacant,,,,,,,"10.0",,,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((532975.905592587 177450.206961112,532981.576807034 177445.003112038,532977.72339786 177441.100645853,532972.815329388 177446.753784441,532975.905592587 177450.206961112)))",71,,,Carpentery,,,,,,,,,,Cities,"Bespoke fabrication, other",C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,yes,no,G,Manufacturing
"MULTIPOLYGON (((532972.815329388 177446.753784441,532977.72339786 177441.100645853,532974.12573082 177437.457177607,532969.18147575 177442.693179308,532972.815329388 177446.753784441)))",72,,,Carpentery,,,,,,,,,,Cities,"Bespoke fabrication, other",C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,yes,no,G,Manufacturing
"MULTIPOLYGON (((532981.576807034 177445.003112038,532974.12573082 177437.457177607,532974.12573082 177437.457177607,532977.552500278 177433.82820409,532985.132650585 177441.740305924,532981.576807034 177445.003112038)))",73,,,Carpentery,,,,,,,,,,Cities,"Bespoke fabrication, other",C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,yes,no,G,Manufacturing
"MULTIPOLYGON (((532977.552500278 177433.82820409,532981.139175907 177430.029888788,532988.668258661 177438.496067678,532985.132650585 177441.740305924,532977.552500278 177433.82820409)))",74,,,Ceramics,,,,,,,,,,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G,Manufacturing
"MULTIPOLYGON (((532965.25 177438.300000001,532969.18147575 177442.693179308,532981.139175907 177430.029888788,532978.0 177426.5,532965.25 177438.300000001)))",75,,,Metal Fabrication,,,,,,,,,,Cities,"Bespoke fabrication, construction",,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,no,yes,no,G,Manufacturing
"MULTIPOLYGON (((532964.600862141 177445.745146128,532962.856283604 177443.569283335,532963.397100582 177442.967080489,532965.263875985 177445.147071366,532964.600862141 177445.745146128)))",76,,,Vacant,,,,,,,,,,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((532963.079440539 177461.143664072,532964.586754278 177462.76263068,532960.502198902 177466.506754914,532955.805738843 177461.37891295,532959.370009115 177457.555151478,532963.079440539 177461.143664072)))",77,,,Vacant,,,,,,,,,,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
