WKT,U_ID,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level,Sector
"MULTIPOLYGON (((533462.4 175241.1,533460.602 175239.130999999,533458.2 175236.5,533455.8 175242.9,533457.95 175246.9,533462.4 175241.1)))",934,,,Derelict,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=646ac702-4fa3-4341-8607-684b73c656e3_1566896347.jpg,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((533459.456 175223.577,533457.262 175220.707,533452.2 175225.1,533450.35 175226.6,533447.8 175227.800000001,533455.8 175242.9,533458.2 175236.5,533454.808 175230.055,533455.437 175229.722999999,533454.286 175227.533,533459.456 175223.577)))",935,,,Vacant,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=fe1c4cff-f722-4e29-a5f8-ea8334da9f9e_1566896260.jpg,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((533876.933759217 179468.56701918,533874.337459618 179465.879300581,533869.144860418 179470.41368298,533871.119510818 179473.29338148,533876.933759217 179468.56701918)))",936,,,Vacant,,,,,,,"140.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=68bde026-3558-4e49-a3bf-a938e5e466d9_1564669636.jpg,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((533418.65 175200.699999999,533403.0 175187.15,533399.0 175183.699999999,533395.85 175187.0,533392.8 175190.25,533409.05 175211.65,533409.343 175211.316,533415.016 175215.686000001,533416.491 175214.003,533424.057 175205.372,533418.65 175200.699999999)),((533450.8 175257.4,533439.931 175241.794,533437.95 175238.949999999,533436.8 175237.300000001,533436.594 175237.005999999,533433.504 175232.585000001,533431.832 175230.193,533422.4 175216.699999999,533415.15 175221.800000001,533412.2 175223.85,533410.1 175225.25,533409.2 175225.9,533437.6 175266.6,533450.8 175257.4)),((533445.7 175264.5,533442.477 175266.772,533439.6 175268.800000001,533442.0 175272.199999999,533444.764 175270.213,533448.05 175267.85,533445.7 175264.5)))",937,Jewson,Ground Floor,Builders Merchant,Unit has use of operational yard,"Level access to ground floor (e.g. items can be wheeled in), Fork lift truck used, Loading from vehicles in yard used",,"Railway Rise, Grove Vale",,SE22 8WW,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=cab078cf-6e72-47fb-bab9-575b0f772c5b_1566895626.jpg,Cities,"Wholesale, building materials / equipment in hire",I Wholesale: other,Branch (industrial),Industrial in predominantly industrial premises,no,no,no,yes,yes,G,Wholesale
"MULTIPOLYGON (((533883.088 179463.742000001,533880.243127017 179461.052377381,533874.337459618 179465.879300581,533876.933759217 179468.56701918,533883.088 179463.742000001)))",938,,,Vacant,,,,,,,"142.0",,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=ed833693-19ef-4399-984f-142a97fd3dfb_1564669514.jpg,Cities,Vacant industrial,Vacant,Vacant industrial,Industrial in predominantly industrial premises,no,no,no,no,no,G,Vacant Industrial
"MULTIPOLYGON (((533906.7 179463.800000001,533905.01 179472.640000001,533901.521 179475.183,533900.88 179475.65,533900.28 179475.710000001,533897.06 179474.609999999,533895.74 179474.439999999,533892.42 179474.359999999,533891.03 179473.99,533887.2 179477.050000001,533886.3 179478.75,533885.75 179479.800000001,533885.1 179481.0,533884.75 179481.699999999,533884.35 179482.5,533882.85 179480.550000001,533874.71 179486.74,533875.616 179486.93,533875.95 179487.0,533889.2 179489.75,533889.05 179490.800000001,533897.25 179492.4,533897.644 179492.479,533915.7 179496.1,533916.21 179496.199999999,533916.871 179492.677999999,533921.33 179468.92,533919.9 179467.550000001,533906.7 179463.800000001)))",939,Beormund Community Centre,"Ground Floor, Level 1",Community Centre,No associated yard space,No goods access required,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=8bdb6589-1b9c-4277-93e9-380b05f9dc63_1564669203.jpg,Cities,Fully / predominantly non-industrial other than housing,,[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((535790.5 175279.550000001,535791.982 175278.040999999,535793.171 175279.208000001,535797.271 175275.032,535796.081 175273.864,535798.5 175271.4,535795.1 175268.050000001,535787.05 175276.15,535788.5 175277.6,535790.5 175279.550000001)))",940,,,Unidentifiable,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=e4489edd-d8b6-4555-b137-7e318086a6db_1566295211.jpg,Cities,Unknown,,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((535798.5 175271.4,535805.121 175264.725,535809.202 175268.771,535811.3 175266.550000001,535811.95 175267.25,535815.65 175263.550000001,535817.083 175262.117000001,535813.604 175258.640000001,535812.15 175260.050000001,535809.95 175262.279999999,535808.739 175261.079,535810.95 175258.85,535807.55 175255.5,535795.1 175268.050000001,535798.5 175271.4)))",941,,,Residential,,,,,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=db586f26-cb9d-4630-ac2a-1f33aca3799a_1566295149.jpg,Cities,Fully / predominantly housing,,[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((535458.45 174964.1,535457.708 174963.392000001,535454.008 174966.947000001,535453.731 174967.213,535455.7 174969.15,535458.75 174972.15,535462.5 174968.050000001,535461.5 174967.1,535459.35 174964.949999999,535458.45 174964.1)))",942,,,Residential,,,,,,,,,,Cities,Fully / predominantly non-industrial other than housing,,[non-industrial],Not industrial,no,no,no,no,no,G,n/a
"MULTIPOLYGON (((533667.2 179189.5,533690.6 179191.5,533708.65 179195.449999999,533711.95 179178.5,533692.929158606 179175.327960388,533665.256 179169.835999999,533662.15 179184.5,533667.2 179185.4,533667.2 179189.5)))",943,Dry Cleaners,Ground Floor,Commercial Dry Cleaning,"Unit has use of operational yard, Yard shared with others","Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",,Grange Yard,,,,,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=a62a6ffe-73dc-45ae-9ce0-42fc3c592c23_1564668282.jpg,Cities,Laundry,,Stand alone (industrial),Industrial in predominantly industrial premises,no,no,no,no,no,G,Other Service Activities
