U id,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level
351,David Cowley,Level 1,"Artisit, Ceramist",NA,NA,www.davidcowleyart.co.uk,Crampton Street,NA,SE17 3QA,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=9c1af6de-22b5-42ba-a349-dee96b28796b_1568279473.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
1027,Agata Di Masternak,Level 2,Artist,No associated yard space,Goods lift access,NA,Clements Road,100,SE16 4DG,4.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=8c13516b-3750-4bda-b213-fb26c6f3941d_1564573083.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L2
1149,Bernard Rangel,Level 1,Artist,NA,NA,https://bernardrangel.com/,Clement Road,100,SE16 4DG,20.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=151af16b-2ffb-4407-abff-2bf912bb6751_1564400413.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
1157,Cheryl Papsian,Level 1,Artist,NA,NA,https://www.cherylpapasian.com/,Clement Road,100,SE16 4DG,11.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=c6207175-5973-4ade-90a6-819865242534_1564399059.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
1150,Dani Tagen,Level 1,Artist,NA,NA,https://danitagen.com/artist,Clement Road,100,SE16 4DG,18.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=bab29929-18aa-45b1-b93d-18e20e032e28_1564400247.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
465,Ian Davenport,Ground Floor,Artist,Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",NA,Nutbrook Street,33,SE15 4JU,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1225bd00-6689-4394-ad0b-9b7f4d7425e2_1566987233.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1225bd00-6689-4394-ad0b-9b7f4d7425e2_1566987701.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1153,Rodotto Villaplana,Level 1,Artist,NA,NA,NA,Clement Road,100,SE16 4DG,15.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=3d1c5805-39a6-4904-92a3-ad2cdc881967_1564399964.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
1151,Tom White,Level 1,Artist,NA,NA,NA,Clement Road,100,SE16 4DG,17.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=2c595ebe-0825-4b04-a1b7-86aad4612155_1564400162.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
1146,NA,Level 1,Artist,NA,NA,NA,Clement Road,100,SE16 4DG,22.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=9d6589ab-40c2-4ab8-9852-b8d203ff6178_1564400618.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
525,Acktarr Khedoo,NA,Artist,Yard shared with others,Loading from vehicles in yard used,Acktarr-khedoo.squarespace.com,Surrey Quays Road,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
