U id,Name of organis,Floor levels t,Description of 1,Type of associ,Goods access,Organisation w,Street name eg,Street number,Postcode incl,Unit number i,Internal photo,External photo,Source,Category plus,Wmt sector,Branch status,Premises,Manufacturing making,Repair,Creative industrial,Building construction repair,Wholesale distribution,Level
779,Grant Aston,Ground Floor,Ceramics And Sculpture,NA,NA,http://www.grantaston.com,Peckham Road,36 - 38,SE5 8QT,2.0,NA,NA,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
362,Monno Design,Ground Floor,Ceramics Design And Manufacture,Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",www.monno.com,Iliffe Yard,NA,SE17 3QA,20.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=e8dc34ee-b2a6-4379-aa22-b6a552fcb1b2_1568196175.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
775,Catrin Howell Ceramics,Ground Floor,"Ceramics, Fine Art",Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",http://www.catrinhowell.com/,Peckham Road,36 - 38,SE5 8QT,4.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=2c676c06-ba4d-4826-bb49-f48ea7ebb807_1565721359.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=2c676c06-ba4d-4826-bb49-f48ea7ebb807_1565721615.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
773,Sun Kim Ceramics,Ground Floor,"Ceramics, Fine Art",Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",http://www.sunkimceramics.com,Peckham Road,36 - 38,SE5 8QT,4.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=3f315558-c271-4340-97a8-8ea8df76640d_1566208837.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=3f315558-c271-4340-97a8-8ea8df76640d_1566208844.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
761,Carina Ciscato,Ground Floor,"Ceramics, Pottery",Yard shared with others,Level access to ground floor (e.g. items can be wheeled in),http://www.carinaciscato.co.uk/,Peckham Road,36 - 38,SE5 8QT,7.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=5bc1234f-7193-40c7-990c-dc22cb761510_1565709986.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
634,Chris Keenan,Ground Floor,"Ceramics, Pottery",Yard shared with others,Level access to ground floor (e.g. items can be wheeled in),https://www.chriskeenan.co.uk,Peckham Road,36 - 38,SE5 8QT,7.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=80043e6e-5998-43fd-bada-8803b462b139_1565710288.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
774,Kaori Tatebayashi Ceramics,Ground Floor,"Ceramics: Sculpture, Tableware",Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",http://www.kaoriceramics.com/,Peckham Road,36 - 38,SE5 8QT,4.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=e9aeff4a-99ab-4aa9-a228-9f25118ed4a2_1566208318.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=e9aeff4a-99ab-4aa9-a228-9f25118ed4a2_1566208339.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
353,Joka Van Wijk,Level 1,Ceramist,Yard shared with others,Loading from vehicles in yard used,NA,Iliffe Yard,NA,SE17 3QA,8.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=eb527210-7f21-4b33-97b2-6c59b06c2127_1568278840.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=eb527210-7f21-4b33-97b2-6c59b06c2127_1568278827.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
311,Natasha Daintry,Level 1,Ceramist,Yard shared with others,Loading from vehicles in yard used,www.natashadaintry.com,Iliffe Yard,NA,SE17 3QA,2.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=0bef2cf6-4eaf-47d6-85a7-e2595fd40565_1568633971.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
339,Viktoria Redman,Level 1,Ceramist,Yard shared with others,Loading from vehicles in yard used,www.viktoriaredmanceramics.com,Iliffe Yard,NA,SE17 3QA,16.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=7dde21ce-9f4e-4f91-b119-034fc3cc104a_1568637541.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
1632,Sustainable Workspaces,"Ground Floor, Level 1, Level 2, Level 3",Co-Working Office/Workshop Space,"Unit has use of operational yard, Yard shared with others","Loading from vehicles in yard used, Goods lift access, Fork lift truck used, Pump truck",www.sustainableworkspaces.co.uk,Lavington Street,25,SE1 0nz,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f9574cb9-4553-4eff-88fe-1f49bd8b093b_1563237135.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f9574cb9-4553-4eff-88fe-1f49bd8b093b_1563201567.jpg,Cities,Artisan / art production,S Unknown,Stand alone (industrial),Industrial in mixed use premises,yes,yes,yes,no,no,G
1780,Art In The Park,Ground Floor,Community Art Group And Workshop,Yard for own use only,Loading from vehicles in street used,artinthepark.co.uk,Chumleigh Street,NA,SE5 0RJ,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1d83e16e-a5f5-442c-a115-a6a630c66fd6_1568123377.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1d83e16e-a5f5-442c-a115-a6a630c66fd6_1562839220.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
566,South London Maker Space,NA,Community Workshop,NA,NA,southlondonmakerspace.org,"Norwood Road, Bath Factory Estate",41,SE24 9AJ,1129.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1dae07cd-bb98-4b18-96ed-a11d20eb7070_1566982353.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,yes,yes,no,no,G
1134,Art Number 23,Level 1,Curating Exhibition,Yard shared with others,"Goods lift access, Loading from vehicles in yard used",https://www.artnumber23.uk/,Clements Road,100,SE16 4DG,1.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=3199c62b-4853-4f5a-8ea8-c63016c504fb_1564402331.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
781,Maiko Tsutsumi,Ground Floor,"Designer Maker, Sculptures And Objects For Use In Wood, Lacquer And Ceramic",NA,NA,https://www.maikotsutsumi.com,Peckham Road,36 - 38,SE5 8QT,2.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=cf2e8e3a-20b2-4f0e-9485-4fb680ed74d1_1565645574.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
768,Artist Studio,Ground Floor,Fine Art,Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",NA,Peckham Road,36 - 38,SE5 8QT,4.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=94ac106e-7e7c-4812-9310-3f13374b2078_1565715372.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1569,Hummingbird,"Ground Floor, Level 1",Fine Art,Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",NA,Station Passage,NA,SE15 2JR,3.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1330aeee-c93f-426b-834c-a53147985de8_1566481680.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
640,'Vanguard Prize' Artist Studio,Level 1,Fine Art,NA,NA,NA,Peckham Road,36 - 38,SE5 8QT,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=c9b73b2d-dc22-4c8e-a577-100461330a42_1565637978.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
785,NA,Level 1,Fine Art,NA,NA,NA,Peckham Road,36 - 38,SE5 8QT,1.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=7056c2a6-893b-4a77-ac8a-4800dc5caea2_1565644809.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
250,Unknown Artist,Ground Floor,Fine Art - Painting (?),Yard shared with others,NA,www.peacockprojects.co.uk,Peacock yard,13,NA,NA,NA,NA,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1170,Christopher Matthews / The Collection,Ground Floor,Fine Art Ceramics,No associated yard space,Level access to ground floor (e.g. items can be wheeled in),www.thecollectiondesign.co.uk,Peckham Road (Vanguard Court),36 - 38,SE5 8QT,20.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=02e13aa3-81b0-4270-bfa1-e887eee65c8e_1564244126.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
783,Christopher Riggio,Ground Floor,Fine Art Ceramics,NA,NA,http://www.riggio.co.uk,Peckham Road,36 - 38,SE5 8QT,2.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=64ef4844-8314-4ee8-a43a-6884884087df_1565646422.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1168,Philippa George / The Collection,Ground Floor,Fine Art Textiles,No associated yard space,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used, Loading from vehicles in street used",www.thecollectiondesign.co.uk,Peckham Road (Vanguard Court),36 - 38,SE5 8QT,20.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=4753c0c3-1dd3-45fd-9a8c-deb354bb7695_1564243045.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
642,Emma Fineman,Level 1,"Fine Art, Painting",NA,NA,https://www.emmafineman.com,Peckham Road,36 - 38,SE5 8QT,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=9ebd5a7e-840e-4190-8e6d-4277b2b04df1_1565639814.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
643,Lucy Lyttleton,Level 1,"Fine Art, Painting",NA,NA,https://www.instagram.com/lucy.lyttelton/,Peckham Road,36 - 38,SE5 8QT,9.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=ec9c1dc1-05c4-4242-9ab4-0b52b1f0d22e_1566210106.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=ec9c1dc1-05c4-4242-9ab4-0b52b1f0d22e_1565640190.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
770,Marcus Harvey,Ground Floor,"Fine Art, Painting, Sculpture",Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",NA,Peckham Road,36 - 38,SE5 8QT,4.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=5b1b635e-2526-4594-8af1-92c6477ad0c7_1565718152.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
772,Guy Haddom,Ground Floor,"Fine Art, Sculpture",Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",https://www.haddongrant.com/,Peckham Road,36 - 38,SE5 8QT,4.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f06d5670-efb8-4c81-a6e4-cff27e339a0b_1566210144.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f06d5670-efb8-4c81-a6e4-cff27e339a0b_1565719885.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
638,Tatiana Orloff,Level 1,"Fine Art, Sculpture",No associated yard space,NA,http://orloff.org.uk/,Peckham Road,36 - 38,SE5 8QT,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=4f9c6b5b-2acd-40e1-891e-9ab9010e796d_1565637218.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
635,Nahoko Kudo,Level 1,"Fine Art, Sculpture, Film, Installation",No associated yard space,Loading from vehicles in yard used,NA,Peckham Road,36 - 38,SE5 8QT,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=3223f6c6-a35e-4067-8202-c4c798396e39_1565635628.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
769,Artist Studio,Ground Floor,"Fine Art, Sculpture, Painting",Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",NA,Peckham Road,36 - 38,SE5 8QT,4.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=bfaa1e7b-1eff-476a-904e-21514f4ddc25_1565716579.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
647,Charlotte Mann,Ground Floor,"Fine Art, Wall Drawings, Drawings",Yard shared with others,Loading from vehicles in yard used,https://www.charlottemann.co.uk/,Peckham Road,36 - 38,SE5 8QT,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=473b26b4-00a8-489d-857f-384afcabb0d9_1565686711.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1126,The Framing Room,Ground Floor,Framers,Unit has use of operational yard,NA,Www.framingroom.com,Philip Walk,1A,SE15 3NH,1.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=60b007a5-5db5-4533-b249-e4f958f3b8fb_1564405476.jpg,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=60b007a5-5db5-4533-b249-e4f958f3b8fb_1564405502.jpg,Cities,Artisan / art production,NA,Stand alone (industrial),Industrial in predominantly industrial premises,yes,yes,yes,no,no,G
1523,Embroidery,NA,Non Industrial,NA,NA,NA,NA,NA,NA,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=61ade2b4-879f-4253-b02a-1113bdc77385_1566912747.jpg,Cities,Artisan / art production,N Services: other,Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
251,Jules Clarke,Ground Floor,Painting Fine Art,Yard shared with others,NA,www.julesclarke.co.uk,Peacock yard,13,Se17 3lh,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
1743,Artists,Ground Floor,Paintings,Yard shared with others,Loading from vehicles in yard used,NA,Camberwell Road,NA,SE5 0EG,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=98bab165-34c8-471e-beb8-d7a957b8ff99_1562930725.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
417,Mel Bliss,Level 3,Phootgraphy,No associated yard space,No goods access required,http://melbles.co.uk/,Drummond Road,100,SE16 4DG,307.0,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L2
519,Vasilis Photiou,NA,Photographer,Yard shared with others,Loading from vehicles in yard used,bubblyphoto.com,Surrey Quays Road,NA,SE16 7pj,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
428,Mark Parsons,NA,Photographer,No associated yard space,Goods lift access,NA,Thurlow Street,NA,SE17 2DG,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=1f94588d-5c72-4624-bef4-df32a5f14dac_1568210773.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
122,Ben Anders,NA,Photographer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1285,Elephant Studios,NA,Photographic Studio,NA,NA,NA,NA,NA,NA,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=4f5f80d9-1cfc-4205-b535-60b249d85f8c_1564402423.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
310,Change The Picture Limited,Level 1,Photography,Yard shared with others,Loading from vehicles in yard used,www.changethepicture.co.uk,Iliffe Yard,NA,SE17 3QA,14.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=3644f7d5-3ea3-4ba1-b7c6-7e92cc3253b5_1568637304.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
309,John Whitfield Photography,Ground Floor,Photography,Yard shared with others,"Loading from vehicles in yard used, Level access to ground floor (e.g. items can be wheeled in)",www.johnwhitfieldphotography.com,Iliffe Yard,NA,SE17 3QA,2.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=da300dd4-107c-4b61-aaf5-068cf3b57bb2_1568633829.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1023,Lsb Studio,Level 2,Photography,No associated yard space,Goods lift access,NA,Clement Road,100,SE16 4DG,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=0bd13f8d-e8f2-4e93-b600-0abb84dc137f_1564575521.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L2
977,Michael Shelford,Level 4 and above,Photography,No associated yard space,Goods lift access,https://www.shelfordheadshots.com/,Clement Road,100,SE16 4DG,405.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f7681df1-2989-4391-8995-a6a70028a438_1564646972.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L2
359,Peter Massingham,Ground Floor,Photography,Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",www.petermassingham.com,Iliffe Yard,NA,SE17 3QA,6.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=b2e5020e-ffc1-4b48-b4b6-8e17f05c55b7_1568196888.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1045,Sphere9,Level 2,Photography,No associated yard space,NA,NA,Clements Road,100,SE16 4DG,202.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f88e4b2a-5400-4088-a2b4-a26fb485038b_1564612530.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L2
397,Studio In The Dark Room/2 Iliffe Yard,Ground Floor,Photography,Yard shared with others,"Level access to ground floor (e.g. items can be wheeled in), Loading from vehicles in yard used",www.2iliffeyard.co.uk,Illiffe Yard,NA,SE17 3QA,2.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=32a5cac3-c672-4edf-8467-5e8190c1588c_1568116818.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
762,Simon Webb Photography,Ground Floor,Photography,NA,NA,https://www.simonwebb.net,Peckham Road,36 - 38,SE5 8QT,7.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f38b89f9-6050-40f6-a42f-9bcc6c47d3cf_1565709083.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
986,Tiff Hunter Studios,NA,Photography,NA,NA,NA,NA,NA,NA,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=99d2e25a-83fe-4096-a276-9794df50f1a8_1564581863.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
646,NA,Level 1,Photography,NA,NA,NA,Peckham Road,36 - 38,SE5 8QT,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=37049918-9189-4a7f-a1a0-75ba59e46c04_1565641459.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L1
763,Zap Studios,Ground Floor,Photography And Events Studio,Yard shared with others,"Loading from vehicles in yard used, Level access to ground floor (e.g. items can be wheeled in)",https://www.zapstudios.co.uk/,Peckham Road,36 - 38,SE5 8QT,7.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f18e4782-c813-4110-a0b0-12f447ae8137_1565708739.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
381,I Heart Studios,Level 4 and above,Photography Based Content Creator,No associated yard space,No goods access required,https://iheartstudios.com/,Drummond Road,100,SE16 4DG,501.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=fa68bd50-d3cf-11e9-af75-195f9be6ff83_1568122787.jpg,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L2
248,Unknown Photographer,Ground Floor,Photography Studio,Yard shared with others,NA,NA,Peacock yard,14,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
271,Unknown Photographer,Level 1,Photography Studio,Yard shared with others,NA,NA,Peacock yard,4a,NA,NA,NA,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
299,NA,Level 2,Photography Studio,No associated yard space,No goods access required,NA,Clements Road,100,SE16 4DG,39.0,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=d06203a0-d892-11e9-9ba4-0fd52558c0f5_1568646403.jpg,NA,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L2
1722,Pixeleyes Photography Ltd,Ground Floor,Photography Studio,No associated yard space,No goods access required,https://www.pixeleyesphotography.co.uk,Toulmin Street,NA,SE1 1PP,4.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=40b36f5d-5dc2-4102-b9a1-8177cec76a4b_1562936766.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
1186,Simon Page-Ritchie Studios,Ground Floor,Photography Studio,Unit has use of operational yard,No goods access required,www.sp-r.com,Webber Street,63,SE1 0QW,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=f3c59bd5-7d82-428d-a296-4be42bd556dc_1564084181.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
828,Studio Photo Gallery,Level 2,Photography Studio,No associated yard space,Goods lift access,NA,Drummond Road,100,SE16 4DG,210.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=476d2a2d-eb66-4550-ae3d-a84393e07970_1564996524.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,L2
925,Mission Bubble Studios,NA,Photography Studio,NA,NA,NA,NA,NA,NA,NA,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=c7f7ee95-03b6-48bc-bda1-6ccb0c758571_1566905851.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in mixed use premises,yes,no,yes,no,no,G
636,James Robjent,Level 1,"Photography, Fashion Photography",No associated yard space,No goods access required,www.jamesrobjent.co.uk,Peckham Road,36 - 38,SE5 8QT,9.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=76322865-c2a4-44cc-9328-efca5a40685b_1565636576.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
753,Catherine-Marie Longtin,Level 1,Quilt-Maker And Textile Artist,NA,NA,www.catherinemarielongtin.com,Peckham Road,36 - 38,SE5 8QT,7.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=c2d2577f-22a0-4966-87b7-ae5a26ca61c8_1565713476.jpg,Cities,Artisan / art production,C Manufacture: other,Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
1568,Richard Quinn,NA,Screen Printer,NA,NA,NA,Station Passage,NA,SE15 2JR,6.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=e74abfcc-43e1-48a7-b341-a3d00b26979e_1566482371.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,G
1156,Lauren Goldie,Level 1,Sculptor,No associated yard space,Goods lift access,NA,Clement Road,100,SE16 4DG,12.0,NA,https://five.epicollect.net/api/media/sia-audit?type=photo&format=entry_original&name=9d39c593-b055-46e0-a35c-93fe926dcf9d_1564399654.jpg,Cities,Artisan / art production,"Q Arts, culture, leisure and sports",Stand alone (industrial),Industrial in predominantly industrial premises,yes,no,yes,no,no,L1
