Join
535257.1
65749
4322
4321
3421
1055.2
1055
1050
1026
721.8
721.7
721.5
721.4
721.3
721.2
719.1
719
718
710
689
683.5
683.2
677
660
659.1
659
637
633
597
593.2
593.1
590
578
574
569
535
496
417
396
278
262.1
256
254.2
254.1
253
251
242.2
241
238.1
238
237
232
231
214
213.4
213.3
213.2
213.1
176
